,market_datetimes
402,2023-03-27 12:30:00
403,2023-03-27 13:30:00
404,2023-03-27 14:30:00
405,2023-03-27 15:30:00
406,2023-03-28 09:30:00
407,2023-03-28 10:30:00
408,2023-03-28 11:30:00
409,2023-03-28 12:30:00
410,2023-03-28 13:30:00
411,2023-03-28 14:30:00
412,2023-03-28 15:30:00
413,2023-03-29 09:30:00
414,2023-03-29 10:30:00
415,2023-03-29 11:30:00
416,2023-03-29 12:30:00
417,2023-03-29 13:30:00
418,2023-03-29 14:30:00
419,2023-03-29 15:30:00
420,2023-03-30 09:30:00
421,2023-03-30 10:30:00
422,2023-03-30 11:30:00
423,2023-03-30 12:30:00
424,2023-03-30 13:30:00
425,2023-03-30 14:30:00
426,2023-03-30 15:30:00
427,2023-03-31 09:30:00
428,2023-03-31 10:30:00
429,2023-03-31 11:30:00
430,2023-03-31 12:30:00
431,2023-03-31 13:30:00
432,2023-03-31 14:30:00
433,2023-03-31 15:30:00
434,2023-04-03 09:30:00
435,2023-04-03 10:30:00
436,2023-04-03 11:30:00
437,2023-04-03 12:30:00
438,2023-04-03 13:30:00
439,2023-04-03 14:30:00
440,2023-04-03 15:30:00
441,2023-04-04 09:30:00
442,2023-04-04 10:30:00
443,2023-04-04 11:30:00
444,2023-04-04 12:30:00
445,2023-04-04 13:30:00
446,2023-04-04 14:30:00
447,2023-04-04 15:30:00
448,2023-04-05 09:30:00
449,2023-04-05 10:30:00
450,2023-04-05 11:30:00
451,2023-04-05 12:30:00
452,2023-04-05 13:30:00
453,2023-04-05 14:30:00
454,2023-04-05 15:30:00
455,2023-04-06 09:30:00
456,2023-04-06 10:30:00
457,2023-04-06 11:30:00
458,2023-04-06 12:30:00
459,2023-04-06 13:30:00
460,2023-04-06 14:30:00
461,2023-04-06 15:30:00
462,2023-04-10 09:30:00
463,2023-04-10 10:30:00
464,2023-04-10 11:30:00
465,2023-04-10 12:30:00
466,2023-04-10 13:30:00
467,2023-04-10 14:30:00
468,2023-04-10 15:30:00
469,2023-04-11 09:30:00
470,2023-04-11 10:30:00
471,2023-04-11 11:30:00
472,2023-04-11 12:30:00
473,2023-04-11 13:30:00
474,2023-04-11 14:30:00
475,2023-04-11 15:30:00
476,2023-04-12 09:30:00
477,2023-04-12 10:30:00
478,2023-04-12 11:30:00
479,2023-04-12 12:30:00
480,2023-04-12 13:30:00
481,2023-04-12 14:30:00
482,2023-04-12 15:30:00
483,2023-04-13 09:30:00
484,2023-04-13 10:30:00
485,2023-04-13 11:30:00
486,2023-04-13 12:30:00
487,2023-04-13 13:30:00
488,2023-04-13 14:30:00
489,2023-04-13 15:30:00
490,2023-04-14 09:30:00
491,2023-04-14 10:30:00
492,2023-04-14 11:30:00
493,2023-04-14 12:30:00
494,2023-04-14 13:30:00
495,2023-04-14 14:30:00
496,2023-04-14 15:30:00
497,2023-04-17 09:30:00
498,2023-04-17 10:30:00
499,2023-04-17 11:30:00
500,2023-04-17 12:30:00
501,2023-04-17 13:30:00
502,2023-04-17 14:30:00
503,2023-04-17 15:30:00
504,2023-04-18 09:30:00
505,2023-04-18 10:30:00
506,2023-04-18 11:30:00
507,2023-04-18 12:30:00
508,2023-04-18 13:30:00
509,2023-04-18 14:30:00
510,2023-04-18 15:30:00
511,2023-04-19 09:30:00
512,2023-04-19 10:30:00
513,2023-04-19 11:30:00
514,2023-04-19 12:30:00
515,2023-04-19 13:30:00
516,2023-04-19 14:30:00
517,2023-04-19 15:30:00
518,2023-04-20 09:30:00
519,2023-04-20 10:30:00
520,2023-04-20 11:30:00
521,2023-04-20 12:30:00
522,2023-04-20 13:30:00
523,2023-04-20 14:30:00
524,2023-04-20 15:30:00
525,2023-04-21 09:30:00
526,2023-04-21 10:30:00
527,2023-04-21 11:30:00
528,2023-04-21 12:30:00
529,2023-04-21 13:30:00
530,2023-04-21 14:30:00
531,2023-04-21 15:30:00
532,2023-04-24 09:30:00
533,2023-04-24 10:30:00
534,2023-04-24 11:30:00
535,2023-04-24 12:30:00
536,2023-04-24 13:30:00
537,2023-04-24 14:30:00
538,2023-04-24 15:30:00
539,2023-04-25 09:30:00
540,2023-04-25 10:30:00
541,2023-04-25 11:30:00
542,2023-04-25 12:30:00
543,2023-04-25 13:30:00
544,2023-04-25 14:30:00
545,2023-04-25 15:30:00
546,2023-04-26 09:30:00
547,2023-04-26 10:30:00
548,2023-04-26 11:30:00
549,2023-04-26 12:30:00
550,2023-04-26 13:30:00
551,2023-04-26 14:30:00
552,2023-04-26 15:30:00
553,2023-04-27 09:30:00
554,2023-04-27 10:30:00
555,2023-04-27 11:30:00
556,2023-04-27 12:30:00
557,2023-04-27 13:30:00
558,2023-04-27 14:30:00
559,2023-04-27 15:30:00
560,2023-04-28 09:30:00
561,2023-04-28 10:30:00
562,2023-04-28 11:30:00
563,2023-04-28 12:30:00
564,2023-04-28 13:30:00
565,2023-04-28 14:30:00
566,2023-04-28 15:30:00
567,2023-05-01 09:30:00
568,2023-05-01 10:30:00
569,2023-05-01 11:30:00
570,2023-05-01 12:30:00
571,2023-05-01 13:30:00
572,2023-05-01 14:30:00
573,2023-05-01 15:30:00
574,2023-05-02 09:30:00
575,2023-05-02 10:30:00
576,2023-05-02 11:30:00
577,2023-05-02 12:30:00
578,2023-05-02 13:30:00
579,2023-05-02 14:30:00
580,2023-05-02 15:30:00
581,2023-05-03 09:30:00
582,2023-05-03 10:30:00
583,2023-05-03 11:30:00
584,2023-05-03 12:30:00
585,2023-05-03 13:30:00
586,2023-05-03 14:30:00
587,2023-05-03 15:30:00
588,2023-05-04 09:30:00
589,2023-05-04 10:30:00
590,2023-05-04 11:30:00
591,2023-05-04 12:30:00
592,2023-05-04 13:30:00
593,2023-05-04 14:30:00
594,2023-05-04 15:30:00
595,2023-05-05 09:30:00
596,2023-05-05 10:30:00
597,2023-05-05 11:30:00
598,2023-05-05 12:30:00
599,2023-05-05 13:30:00
600,2023-05-05 14:30:00
601,2023-05-05 15:30:00
602,2023-05-08 09:30:00
603,2023-05-08 10:30:00
604,2023-05-08 11:30:00
605,2023-05-08 12:30:00
606,2023-05-08 13:30:00
607,2023-05-08 14:30:00
608,2023-05-08 15:30:00
609,2023-05-09 09:30:00
610,2023-05-09 10:30:00
611,2023-05-09 11:30:00
612,2023-05-09 12:30:00
613,2023-05-09 13:30:00
614,2023-05-09 14:30:00
615,2023-05-09 15:30:00
616,2023-05-10 09:30:00
617,2023-05-10 10:30:00
618,2023-05-10 11:30:00
619,2023-05-10 12:30:00
620,2023-05-10 13:30:00
621,2023-05-10 14:30:00
622,2023-05-10 15:30:00
623,2023-05-11 09:30:00
624,2023-05-11 10:30:00
625,2023-05-11 11:30:00
626,2023-05-11 12:30:00
627,2023-05-11 13:30:00
628,2023-05-11 14:30:00
629,2023-05-11 15:30:00
630,2023-05-12 09:30:00
631,2023-05-12 10:30:00
632,2023-05-12 11:30:00
633,2023-05-12 12:30:00
634,2023-05-12 13:30:00
635,2023-05-12 14:30:00
636,2023-05-12 15:30:00
637,2023-05-15 09:30:00
638,2023-05-15 10:30:00
639,2023-05-15 11:30:00
640,2023-05-15 12:30:00
641,2023-05-15 13:30:00
642,2023-05-15 14:30:00
643,2023-05-15 15:30:00
644,2023-05-16 09:30:00
645,2023-05-16 10:30:00
646,2023-05-16 11:30:00
647,2023-05-16 12:30:00
648,2023-05-16 13:30:00
649,2023-05-16 14:30:00
650,2023-05-16 15:30:00
651,2023-05-17 09:30:00
652,2023-05-17 10:30:00
653,2023-05-17 11:30:00
654,2023-05-17 12:30:00
655,2023-05-17 13:30:00
656,2023-05-17 14:30:00
657,2023-05-17 15:30:00
658,2023-05-18 09:30:00
659,2023-05-18 10:30:00
660,2023-05-18 11:30:00
661,2023-05-18 12:30:00
662,2023-05-18 13:30:00
663,2023-05-18 14:30:00
664,2023-05-18 15:30:00
665,2023-05-19 09:30:00
666,2023-05-19 10:30:00
667,2023-05-19 11:30:00
668,2023-05-19 12:30:00
669,2023-05-19 13:30:00
670,2023-05-19 14:30:00
671,2023-05-19 15:30:00
672,2023-05-22 09:30:00
673,2023-05-22 10:30:00
674,2023-05-22 11:30:00
675,2023-05-22 12:30:00
676,2023-05-22 13:30:00
677,2023-05-22 14:30:00
678,2023-05-22 15:30:00
679,2023-05-23 09:30:00
680,2023-05-23 10:30:00
681,2023-05-23 11:30:00
682,2023-05-23 12:30:00
683,2023-05-23 13:30:00
684,2023-05-23 14:30:00
685,2023-05-23 15:30:00
686,2023-05-24 09:30:00
687,2023-05-24 10:30:00
688,2023-05-24 11:30:00
689,2023-05-24 12:30:00
690,2023-05-24 13:30:00
691,2023-05-24 14:30:00
692,2023-05-24 15:30:00
693,2023-05-25 09:30:00
694,2023-05-25 10:30:00
695,2023-05-25 11:30:00
696,2023-05-25 12:30:00
697,2023-05-25 13:30:00
698,2023-05-25 14:30:00
699,2023-05-25 15:30:00
700,2023-05-26 09:30:00
701,2023-05-26 10:30:00
702,2023-05-26 11:30:00
